image,od_dice,od_assd,oc_dice,oc_assd
V0001.png,0.6255089103480552,10.0,0.4334672667608904,10.0
V0004.png,0.7396624098064996,10.0,0.07837316449699694,10.0
V0005.png,0.42121769999235176,10.0,0.03573064737252917,10.0
V0006.png,0.32957642774985163,10.0,0.19768500559541552,10.0
V0007.png,0.7145938176540314,10.0,0.24040186853103024,10.0
V0008.png,0.46057716068356724,10.0,0.18092276002871238,10.0
V0009.png,0.7542470599167906,10.0,0.6241983769807679,10.0
V0010.png,0.791521331015543,10.0,0.41047120727501984,10.0
V0013.png,0.8047158405837205,2.313341295880804,0.6515495100092611,10.0
V0014.png,0.720265535939272,8.201378801230886,0.7009767098028237,10.0
V0015.png,0.6231120967000747,10.0,0.3619222824513169,10.0
V0016.png,0.7664761085465688,2.258936146940977,0.20155039322374632,10.0
V0018.png,0.541432942668643,10.0,0.1569126396163854,10.0
V0021.png,0.7529784222669512,10.0,0.5572672486360775,10.0
V0023.png,0.6685522093956947,10.0,0.26704707769744057,10.0
V0024.png,0.6182659631077692,10.0,0.5274633133596157,10.0
V0026.png,0.3730011160449974,10.0,0.41804353603718397,10.0
V0028.png,0.5713648862683967,10.0,0.5611559154531051,10.0
V0029.png,0.7525803170863641,10.0,0.4437350381335393,10.0
V0030.png,0.6265758095173971,10.0,0.45622688151206975,10.0
V0032.png,0.6096575481157465,10.0,0.44876468429013894,10.0
V0034.png,0.4561986708484565,10.0,0.45240032769568617,10.0
V0036.png,0.8057784913665946,1.9626777973957874,0.5379656177006962,10.0
V0037.png,0.7740509372666498,2.144826097409018,0.6552128081702211,10.0
V0038.png,0.6493601465086946,10.0,0.1474983783382119,10.0
V0040.png,0.7506011948253811,10.0,0.6961178055685482,10.0
V0041.png,0.7343321378620677,2.182759912749741,0.7173434061735231,10.0
V0042.png,0.5704596294318063,10.0,2.6096033334822462e-09,10.0
V0043.png,0.6851910830531918,10.0,0.3631382332175884,10.0
V0044.png,0.806047014032688,2.1816545363400413,0.5246015262487819,10.0
V0046.png,0.371641034838904,10.0,0.4402734084406278,10.0
V0047.png,0.5873712904396038,10.0,0.37165140938741464,10.0
V0048.png,0.7221544097328697,10.0,0.538038763268618,10.0
V0050.png,0.6577459182335755,10.0,0.46626586684613935,10.0
V0051.png,0.5364050760524793,10.0,0.218031823164314,10.0
V0052.png,0.7308465901162492,10.0,0.5888778570562172,10.0
V0053.png,0.600351299250854,10.0,0.32683106615078733,10.0
V0054.png,0.44603651533315114,10.0,0.26206125120673857,10.0
V0056.png,0.6690161970088361,10.0,0.08680675478192644,10.0
V0057.png,0.6870624051087805,10.0,3.2247661940510604e-09,10.0
V0058.png,0.7329276540781149,2.6177484498609918,0.16653449863459027,10.0
V0059.png,0.6327916891097551,10.0,0.012028610188510062,10.0
V0061.png,0.7920540999221859,6.688916224664137,0.6801980205935693,10.0
V0063.png,0.5295326145804233,10.0,0.08032248569674158,10.0
V0064.png,0.6316135395731075,10.0,0.12937361473054512,10.0
V0065.png,0.802478059057844,1.9531159392561475,0.2579921522266284,10.0
V0066.png,0.7237588654931215,10.0,0.6228160341801438,10.0
V0067.png,0.6116762119739497,10.0,3.460207600483711e-09,10.0
V0068.png,0.64119726281026,10.0,0.08629118153816964,10.0
V0070.png,0.5740194970346713,10.0,0.1622597714919905,10.0
V0071.png,0.7925289188235923,7.519773807348117,0.25269203426887277,10.0
V0072.png,0.5958585941297074,10.0,0.029522832030474313,10.0
V0073.png,0.5376235484181346,10.0,0.07031980723710528,10.0
V0074.png,0.43614609607295585,10.0,0.13798920523281175,10.0
V0075.png,0.13476134328321696,10.0,1.179384359972421e-09,10.0
V0076.png,0.6915431878464554,3.9191926486605855,0.18819320359893882,10.0
V0077.png,0.7089947092315876,4.293070817795335,0.1747653823258282,10.0
V0079.png,0.720859693456227,10.0,0.5511901360734438,10.0
V0080.png,0.7292892714697948,10.0,0.0948930312372446,10.0
V0083.png,0.523742426712877,10.0,0.10523264370889601,10.0
V0084.png,0.5832143427072709,10.0,0.07171904053286683,10.0
V0085.png,0.5049592998803206,10.0,0.08199165312762127,10.0
V0086.png,0.7197323375974694,10.0,0.2834507073791782,10.0
V0087.png,0.5517979838031605,10.0,0.2622779557874715,10.0
V0088.png,0.8189910981018881,6.837142636338263,0.05573558615855097,10.0
V0091.png,0.5784160142920661,10.0,0.1069809621720231,10.0
V0092.png,0.6048951053014242,7.619880725240245,0.1568056916314166,10.0
V0093.png,0.4531707892080818,10.0,0.21268528229457898,10.0
V0094.png,0.6214884182507898,10.0,0.05751848963431637,10.0
V0095.png,0.4460374984669627,3.925956842350534,0.09965831563260491,10.0
V0097.png,0.5074565886908705,10.0,1.898614008166672e-09,10.0
V0098.png,0.7079383050035812,10.0,0.7031125305205258,10.0
V0099.png,0.727101335642497,10.0,0.43135628605824844,10.0
V0100.png,0.3840811553772289,10.0,0.14389711339007874,10.0
V0101.png,0.800783929641564,5.410567956524786,0.09959184408496455,10.0
V0103.png,0.6074581160084146,9.25790277945209,0.2684977598977081,10.0
V0104.png,0.4433664263067653,10.0,0.0007119989307369189,10.0
V0105.png,0.703799048518762,6.287298396053595,0.12359551009399637,10.0
V0106.png,0.7694148143062358,2.9291089162392416,0.4072810045092093,10.0
V0107.png,0.7976888735028549,10.0,0.2940528673234974,10.0
V0108.png,0.43963753321272286,10.0,1.4180374341774854e-09,10.0
V0109.png,0.6617884636873624,10.0,0.08876025230943842,10.0
V0110.png,0.6197779728164052,10.0,0.3163731268220054,10.0
V0111.png,0.7732067512940857,10.0,0.3345309407803156,10.0
V0112.png,0.794448757963462,2.096959719386139,0.4051001843165749,10.0
